file,line,hex,context_snippet
app/agents/departments.py,41,#0ea5e9,"ategie, Task-Zerlegung"",         color=""#0ea5e9"",         badge=""Planning"",     ),     "
app/agents/departments.py,48,#06b6d4,"üfung, Wissenssynthese"",         color=""#06b6d4"",         badge=""Research"",     ),     "
app/agents/departments.py,55,#10b981,"Dokumentation, Skripte"",         color=""#10b981"",         badge=""Development"",     ),  "
app/agents/departments.py,62,#f59e0b,"usik, Voice, Workflows"",         color=""#f59e0b"",         badge=""Media"",     ),     Dep"
app/agents/departments.py,69,#84cc16,"orkflow-Orchestrierung"",         color=""#84cc16"",         badge=""Automation"",     ),   "
app/agents/departments.py,76,#475569,", Recovery, Monitoring"",         color=""#475569"",         badge=""System"",     ), }   de"
app/gui/commands/palette.py,94,#ffffff,"   bg = tokens.get(""color_bg_surface"", ""#ffffff"")             border = tokens.get(""colo"
app/gui/commands/palette.py,95,#e2e8f0,"   border = tokens.get(""color_border"", ""#e2e8f0"")             text = tokens.get(""color_"
app/gui/commands/palette.py,96,#1f2937,"       text = tokens.get(""color_text"", ""#1f2937"")             self.setStyleSheet(f""""""  "
app/gui/commands/palette.py,107,#ffffff,"kground: {tokens.get('color_bg_input', '#ffffff')};                     border: 1px sol"
app/gui/commands/palette.py,124,#dbeafe,"ound: {tokens.get('color_bg_selected', '#dbeafe')};                 }}                 "
app/gui/commands/palette.py,127,#e2e8f0,"kground: {tokens.get('color_bg_hover', '#e2e8f0')};                 }}             """""")"
app/gui/components/doc_search_panel.py,40,#e5e7eb," { background: white; border: 1px solid #e5e7eb; ""         ""border-radius: 10px; }""    "
app/gui/components/doc_search_panel.py,73,#1f2937,"t-weight: bold; font-size: 14px; color: #1f2937;"")         root.addWidget(title)       "
app/gui/components/doc_search_panel.py,89,#2563eb,rchButton {                 background: #2563eb; color: white; border: none;           
app/gui/components/doc_search_panel.py,92,#1d4ed8,ton#docSearchButton:hover { background: #1d4ed8; }             QPushButton#docSearchBut
app/gui/components/doc_search_panel.py,93,#9ca3af,"#docSearchButton:disabled { background: #9ca3af; }             """"""         )         se"
app/gui/components/doc_search_panel.py,101,#6b7280,"     self._status.setStyleSheet(""color: #6b7280; font-size: 12px;"")         self._statu"
app/gui/components/doc_search_panel.py,111,#fafafa,"             ""QListWidget { background: #fafafa; border: 1px solid #e5e7eb; border-radi"
app/gui/components/doc_search_panel.py,111,#e5e7eb," background: #fafafa; border: 1px solid #e5e7eb; border-radius: 6px; }""         )      "
app/gui/components/doc_search_panel.py,120,#ffffff,"          ""QPlainTextEdit { background: #ffffff; border: 1px solid #e5e7eb; ""          "
app/gui/components/doc_search_panel.py,120,#e5e7eb," background: #ffffff; border: 1px solid #e5e7eb; ""             ""border-radius: 6px; fon"
app/gui/components/doc_search_panel.py,130,#9ca3af,"n."")         hint.setStyleSheet(""color: #9ca3af; font-size: 11px;"")         hint.setWor"
app/gui/components/markdown_widgets.py,35,#374151,"        bg = t.get(""color_bg_surface"", ""#374151"")         fg = t.get(""color_text"", ""#f3"
app/gui/components/markdown_widgets.py,36,#f3f4f6,"151"")         fg = t.get(""color_text"", ""#f3f4f6"")         hover = t.get(""color_bg_hover"
app/gui/components/markdown_widgets.py,37,#4b5563,"       hover = t.get(""color_bg_hover"", ""#4b5563"")         return f""""""             QMenu"
app/gui/components/markdown_widgets.py,44,#374151,"""             QMenu { background-color: #374151; color: #f3f4f6; padding: 4px; }       "
app/gui/components/markdown_widgets.py,44,#f3f4f6,enu { background-color: #374151; color: #f3f4f6; padding: 4px; }             QMenu::ite
app/gui/components/markdown_widgets.py,45,#4b5563,"Menu::item:selected { background-color: #4b5563; }         """"""   class MarkdownMessageW"
app/gui/devtools/markdown_demo_panel.py,149,#64748b,"rue)         hint.setStyleSheet(""color: #64748b; font-size: 11px;"")         ct.addWidge"
app/gui/domains/command_center/audit_operations_view.py,134,#e8e8e8,"f.theme)         fg = colors.get(""fg"", ""#e8e8e8"")         muted = colors.get(""muted"", """
app/gui/domains/command_center/audit_operations_view.py,135,#a0a0a0,""")         muted = colors.get(""muted"", ""#a0a0a0"")         style = f""""""             QGro"
app/gui/domains/command_center/audit_operations_view.py,137,#505050,"px solid {colors.get('top_bar_border', '#505050')}; border-radius: 8px; margin-top: 12p"
app/gui/domains/command_center/command_center_view.py,70,#2a2a2a,"tyle(self, colors: dict):         bg = ""#2a2a2a"" if self._theme == ""dark"" else ""#f8f8f8"
app/gui/domains/command_center/command_center_view.py,70,#f8f8f8,"#2a2a2a"" if self._theme == ""dark"" else ""#f8f8f8""         border = colors.get(""top_bar_b"
app/gui/domains/command_center/command_center_view.py,71,#505050," border = colors.get(""top_bar_border"", ""#505050"")         fg = colors.get(""fg"", ""#e8e8e"
